IdUser,CodeUser,LastName,FirstName,Address,Email,PhoneNumber,Password,Role,Created
9,BH8250,vuong,Nguyen,aaa,admin1@gmail.com,12323,$2a$11$avkR/eL8VcJ8343kQhoBAuaC4sDBepSMtdIhfgpVZB.dPA/5JP1Qq,Student,04/01/2025 17:22:53
10,BH7803,Tuan,Nguyen,aaa,test@gmail.com,12344412,$2a$11$BxBBBOr0wwVkG0ggZ1EQROk41bohbxGwAjjgH.hLW8xAIzvylWo/y,Teacher,04/01/2025 18:01:39
12,BH2932,Huu,nghia,aaa,test11@gmail.com,123,$2a$11$YWGM/i11HcR95N6SP2PsYuS8h2c5bqW9zRZ9qFXSpZCKQgjEcLTji,Teacher,04/01/2025 23:54:33
13,BH1064,To," Trung Ton",hanoi,ton@gmail.com,01234444,$2a$11$2aWKmvH0YJtA8K7SHtkdxu6coNRp91HyRkBMaiTAPPyLeI7uJ2A0W,Teacher,04/02/2025 00:22:33
14,BH3784,To," Trung Ton",hanoi,ton1@gmail.com,012344445,$2a$11$uSsXmfBgXNjHeAgnDettOORtzlsL./VHMp6QZ8k5VGkWR1DMcXhR6,Student,04/02/2025 02:57:33
15,BH9059,Nguyen,Nghia,HN,admin@gmail.com,0321456789,$2a$11$gWfd2qbh2gWA.MdOXRpqW.tkf0rkFAO1cGAzvsiO6XX4EsPxOxoJS,Admin,04/04/2025 09:03:25
16,BH6936,N,N,YB,admin12@gmail.com,03253444,$2a$11$eWB/3EbhgFNO.HT5YV1TgO6Sp8jF.cGUR4FHPhUthIzxDINpweebi,Student,04/04/2025 09:03:56
18,BH8800,N,N,YB,aaaa@gmail.com,03214576,$2a$11$Yyq1Vm2nkgdEOGl9fKCfqOhqfBelnDm.phNlz4.szKhvxucN/2RqC,Student,04/04/2025 15:54:52
19,BH2647,Admin,Admin,HN,admin002@gmail.com,03215655,$2a$11$S/pRDvRs4vciU0jZ9HtPDu.0mW8Y.pmxDuKo27MG9ICe0CgPJ/aWa,Admin,04/05/2025 13:07:55
20,BH9242,vuong,thanh,thai binh,vuongngu@gmail.com,21321312321,$2a$11$m8K54smXg23FnxLxQk0l3u6hI8kQRatO/E2A80Vf4HEnF9oU6nuNe,Student,04/05/2025 15:14:52
